Date,MSFT_Log_Returns,^DJI_Log_Returns,^GSPC_Log_Returns
23/01/2026,0.032300585,-0.005793942,0.000326816
26/01/2026,0.00924997,0.006368593,0.004993594
27/01/2026,0.021665379,-0.008311483,0.004073588
28/01/2026,0.002182549,0.000248756,-8.17E-05
29/01/2026,-0.105284413,0.001140966,-0.001293467
30/01/2026,-0.007432329,-0.003656241,-0.004311179
02/02/2026,-0.016212953,0.010482105,0.005376785
03/02/2026,-0.02914252,-0.003379104,-0.008439496
04/02/2026,0.007220794,0.005272576,-0.0050853
05/02/2026,-0.050811792,-0.01204327,-0.012326678
06/02/2026,0.018797519,0.024378093,0.019504344
09/02/2026,0.03058882,0.000402971,0.004680118
10/02/2026,-0.000798228,0.001042014,-0.003309182
11/02/2026,-0.021770815,-0.001330725,-4.90E-05
12/02/2026,-0.00627634,-0.013445924,-0.015784941
13/02/2026,-0.001294823,0.000989344,0.000498965
17/02/2026,-0.011175591,0.000651527,0.001030791
18/02/2026,0.00688053,0.002610368,0.005550637
19/02/2026,-0.000577106,-0.005400899,-0.002826115
20/02/2026,-0.003091618,0.004661813,0.006915756
23/02/2026,-0.032649771,-0.016700783,-0.010439959
24/02/2026,0.011713642,0.007561719,0.007622489
25/02/2026,0.029384055,0.00623677,0.008103434
26/02/2026,0.002791917,0.000344525,-0.005380027
27/02/2026,-0.022607537,-0.010586869,-0.004348795
02/03/2026,0.014685098,-0.001494455,0.000398275
03/03/2026,0.013408648,-0.008285194,-0.009488909
04/03/2026,0.003139221,0.004897973,0.007726126
05/03/2026,0.013433509,-0.016230333,-0.005662708
06/03/2026,-0.004196959,-0.009495255,-0.01336572
09/03/2026,0.001099767,0.005024036,0.008269872
10/03/2026,-0.008955193,-0.000718492,-0.002137403
11/03/2026,-0.002171161,-0.006081404,-0.000837952
12/03/2026,-0.007486997,-0.015716717,-0.015344808
13/03/2026,-0.015826552,-0.002560866,-0.006077546
16/03/2026,0.011062369,0.008297827,0.01007991
17/03/2026,-0.001351121,0.000997482,0.002491149
18/03/2026,-0.019262436,-0.016480235,-0.013700999
19/03/2026,-0.007095289,-0.004416838,-0.002752583
20/03/2026,-0.018550453,-0.009693663,-0.015253934
23/03/2026,0.002954767,0.0137496,0.011388109
24/03/2026,-0.027153938,-0.001828395,-0.003749595
25/03/2026,-0.004571153,0.006600088,0.005404494
26/03/2026,-0.013758534,-0.010160948,-0.017559441
27/03/2026,-0.025460125,-0.017415058,-0.016863232
30/03/2026,0.00611966,0.001095341,-0.003953554
31/03/2026,0.030751448,0.024584024,0.028714893
01/04/2026,-0.002163529,0.0048269,0.007142945
02/04/2026,0.011012013,-0.001312263,0.001120248
06/04/2026,-0.001554222,0.003546187,0.004417013
07/04/2026,-0.001583504,-0.001831936,0.00075896
08/04/2026,0.00546462,0.028055591,0.024772038
09/04/2026,-0.003371655,0.005741768,0.006151067
10/04/2026,-0.005914489,-0.005603008,-0.00113917
13/04/2026,0.035754037,0.0062762,0.010121875
14/04/2026,0.022483811,0.006567969,0.011713989
15/04/2026,0.045038883,-0.001490098,0.007944145
16/04/2026,0.021745251,0.002370098,0.002606556
17/04/2026,0.006002044,0.01772453,0.011968554
20/04/2026,-0.011226741,-9.85E-05,-0.002377196
21/04/2026,0.014461871,-0.005947353,-0.006368454
22/04/2026,0.020442188,0.006907051,0.010405756
23/04/2026,-0.040468864,-0.003637864,-0.004141432
24/04/2026,0.021110534,-0.001615761,0.007942068
27/04/2026,0.000470939,-0.00127892,0.001231618
28/04/2026,0.010373913,-0.00052608,-0.004906188
29/04/2026,-0.011221763,-0.005716555,-0.000399252
30/04/2026,-0.040089887,0.016045423,0.010186184
01/05/2026,0.016200381,-0.003083591,0.00292405
04/05/2026,-0.001980556,-0.011324064,-0.004070462
05/05/2026,-0.005430265,0.007254735,0.008087227
06/05/2026,0.006251935,0.012344618,0.014482944
07/05/2026,0.01631703,-0.006303484,-0.003810345
08/05/2026,-0.013518726,0.000245779,0.008390405
11/05/2026,-0.005943621,0.001919346,0.001878192
12/05/2026,-0.011920778,0.001127831,-0.001603894
13/05/2026,-0.00629778,-0.001354587,0.005832206
14/05/2026,0.010360489,0.007423332,0.007626449
15/05/2026,0.030049789,-0.010790165,-0.012440382
18/05/2026,0.003832279,0.003224386,-0.000735939
19/05/2026,-0.014555069,-0.00650668,-0.006700721
20/05/2026,0.008682378,0.012991059,0.010734208
21/05/2026,-0.002526091,0.005509931,0.001713861
22/05/2026,-0.001241528,0.005830344,0.003720045
26/05/2026,-0.006086787,-0.002336064,0.006089681
27/05/2026,-0.008109095,0.003612087,0.000164866
28/05/2026,0.034112296,0.00048735,0.005737227
29/05/2026,0.053020181,0.007148252,0.002169905
01/06/2026,0.02257551,0.000909164,0.002621856
02/06/2026,-0.042608691,0.004471491,0.001291255
03/06/2026,-0.03216763,-0.01217172,-0.007399349
04/06/2026,0.001660042,0.017112749,0.004046762
05/06/2026,-0.026945409,-0.013573521,-0.02680133
08/06/2026,-0.011902515,-0.001589126,0.002973705
09/06/2026,-0.020438635,0.001693867,-0.002579719
10/06/2026,-0.01511079,-0.018917514,-0.016332096
11/06/2026,-0.017824489,0.01845823,0.017367199
12/06/2026,0.001024207,0.006928165,0.005012928
15/06/2026,0.022822039,0.009113595,0.016393284
16/06/2026,-0.014945081,0.006340108,-0.005700396
17/06/2026,-0.03862059,-0.009800256,-0.012222676
18/06/2026,0.001292322,0.001400163,0.010787814
22/06/2026,-0.032303202,0.002866296,-0.003711933
23/06/2026,0.017807524,-0.000887431,-0.014466928
24/06/2026,-0.022938553,0.003517509,-0.000983415
25/06/2026,-0.035170494,0.001382346,-9.92E-05
26/06/2026,0.055511674,-0.000857671,-0.000471769
29/06/2026,-0.011867318,0.005893392,0.011681561
30/06/2026,0.012001335,0.002611646,0.007888999
01/07/2026,0.029739442,-0.000266877,-0.002153151
02/07/2026,0.016030885,0.011308144,1.37E-06
06/07/2026,-0.009649728,0.002941598,0.007215414
07/07/2026,0.005415331,-0.002467644,-0.004465063
08/07/2026,-0.014245624,-0.010957427,-0.002821215
09/07/2026,0.002657261,0.00265214,0.008109822
10/07/2026,0.001923481,0.002846183,0.004200011
13/07/2026,0.015178903,-0.002632241,-0.007958609
14/07/2026,-0.015620479,0.000183396,0.003751931
15/07/2026,0.027417963,0.002859667,0.00381187
16/07/2026,0.013731345,-0.00200875,-0.005114462
17/07/2026,-0.018316817,-0.007766023,-0.010149876
20/07/2026,0.021279272,-0.005907757,-0.001934124
21/07/2026,-0.011349576,0.007406616,0.008817378
22/07/2026,-0.018805522,-0.000116092,-0.001364622
23/07/2026,-0.022697653,-0.00975527,-0.012163372
24/07/2026,0.0003145,0.004545716,0.000496641
27/07/2026,0.019201404,0.005046763,0.000161913
28/07/2026,0.010863421,0.010237428,0.002102096
29/07/2026,-0.007169398,-0.022104859,-0.015277397
30/07/2026,0.144158639,0.01182875,0.016468014
31/07/2026,0.029746018,0.005291148,0.006979208
03/08/2026,0.048162847,0.01312448,0.014682592
04/08/2026,0.010525776,0.016920644,0.017737942
05/08/2026,-0.010915481,0.004855309,-0.001677899
06/08/2026,0.025119812,-0.008574411,-0.001761083
07/08/2026,0.000260049,0.002813665,0.006165187
